CEO,Company.Name,Adventurousness,Artistic.interests,Emotionality,Imagination,Intellect,Liberalism,Achievement.striving,Cautiousness,Dutifulness,Orderliness,Self.discipline,Self.efficacy,Activity.level,Assertiveness,Cheerfulness,Excitement.seeking,Friendliness,Gregariousness,Altruism,Cooperation,Modesty,Morality,Sympathy,Trust,Anger,Anxiety,Depression,Immoderation,Self.consciousness,Vulnerability,Recommend.to.a.Friend,CEO.Approval,Positive.Business.Outlook
Arianna Huffington,Thrive Global,0.635180186,0.929124455,0.924947264,0.4422033,0.969264229,0.958325197,0.570935684,0.660288886,0.653016728,0.05731416,0.373773175,0.30012247,0.15995839,0.134725298,0.051044686,0.015688679,0.065182062,0.008313658,0.768435939,0.726205699,0.662121796,0.774708438,0.786642529,0.509734786,0.050201166,0.216059499,0.280076526,0.244130287,0.364176491,0.269847914,0.54,0.46,0.57
Robert Iger,Disney,0.881593735,0.829401033,0.486842827,0.261601551,0.976885992,0.967401024,0.722654466,0.821106233,0.725799656,0.202737347,0.602627038,0.420027868,0.351755614,0.344759484,0.106404331,0.013159431,0.138351808,0.025775237,0.317983973,0.372314703,0.205139075,0.392971487,0.39221823,0.306904071,0.000174444,0.00061382,0.002659369,0.001320327,0.004655255,0.001132238,0.75,0.81,0.6
Dara Khosrowshahi,Uber,0.885274131,0.506060953,0.161872253,0.093635029,0.898823497,0.828253451,0.79329561,0.842303041,0.751473915,0.404933958,0.813841985,0.788031763,0.712821267,0.723321023,0.532114165,0.168882348,0.681680572,0.520379488,0.10972109,0.105075537,0.026529999,0.100115689,0.11357521,0.11668749,7.46E-05,0.000168396,0.001009933,0.000925308,0.000746289,0.000263018,0.83,0.93,0.73
Emily Weiss,Glossier,0.930399814,0.917617283,0.793529783,0.418952525,0.98094696,0.975236343,0.477592853,0.636271838,0.545638502,0.097902325,0.326028464,0.21537995,0.402261946,0.376238398,0.10702622,0.033322314,0.143205949,0.054373496,0.488523451,0.490835299,0.26511271,0.518414452,0.523094011,0.389889897,0.012892497,0.02295658,0.06801054,0.062959578,0.087430501,0.047923356,0.53,0.5,0.47
Eric Yuan,Zoom,0.824129749,0.587108415,0.371497895,0.061275965,0.837835268,0.779957856,0.879363379,0.903328286,0.81586705,0.383373885,0.824149034,0.691582989,0.630852049,0.626948556,0.351039272,0.024912003,0.444588213,0.199015004,0.470770429,0.503196919,0.166211957,0.512530196,0.445622346,0.483204493,0.000174128,0.000334974,0.004255347,0.002909774,0.005426312,0.001526702,0.94,0.96,0.94
Ginni Rometty,IBM,0.907533302,0.825845244,0.621547113,0.307933526,0.945658343,0.918124823,0.837075481,0.900699859,0.812873632,0.242401941,0.77763877,0.594261992,0.432424517,0.423678428,0.198669478,0.039588119,0.288459916,0.100899405,0.407443619,0.381967916,0.229842504,0.426677742,0.430966358,0.361447525,0.00304828,0.003456096,0.015556047,0.010152214,0.023763996,0.011162306,0.71,0.72,0.5
Justin McLeod,Hinge ,0.651400748,0.612253385,0.508765246,0.336415321,0.926184147,0.927641441,0.227309012,0.367693001,0.282694266,0.029658971,0.098556517,0.155003754,0.323362108,0.358634316,0.04988584,0.039453276,0.118461973,0.071784273,0.151579079,0.128903561,0.075991344,0.14861416,0.163673629,0.111737053,0.049303707,0.077851671,0.144497837,0.093766505,0.14869315,0.118512314,0.81,0.81,0.81
Michael R. Bloomberg,Bloomberg L.P.,0.795477079,0.659307406,0.359785385,0.247409452,0.953085828,0.873652781,0.538726886,0.619144578,0.528463231,0.199812051,0.390468042,0.424447701,0.129823957,0.179958699,0.019813018,0.014469662,0.036289745,0.012662523,0.193023453,0.158881364,0.10461752,0.240646898,0.239966974,0.070985835,0.011486431,0.014226976,0.114477587,0.081961702,0.097766249,0.015720113,0.72,0.91,0.61
Marco Bizzarri,Gucci,0.133725613,0.227251634,0.231350743,0.254823345,0.303804901,0.338124874,0.062384373,0.08671109,0.092055655,0.06842776,0.04350171,0.067232427,0.125547558,0.112734226,0.093349889,0.209850036,0.108737299,0.140171175,0.131157566,0.10583005,0.157549036,0.09610808,0.170594871,0.067496881,0.033521284,0.040798988,0.044948167,0.040552947,0.039962577,0.040537157,0.67,0.9,0.66
Mark Zuckerberg,Facebook,0.847044175,0.849427361,0.613278313,0.504174293,0.973272104,0.963337988,0.609805061,0.674205123,0.531257178,0.120191962,0.338941955,0.384402773,0.330929036,0.346107624,0.069234622,0.043487809,0.090383023,0.059566903,0.308994394,0.252634772,0.153783095,0.310709442,0.32421497,0.225894659,0.006261519,0.016742351,0.057356591,0.021962921,0.072621564,0.032418269,0.87,0.92,0.81
Ramon Laguarta,PepsiCo,0.977480109,0.874400782,0.208464333,0.189474036,0.978379689,0.974229937,0.716352667,0.76508318,0.58603843,0.424223775,0.681635284,0.660155861,0.748232042,0.742462017,0.442362778,0.136840595,0.648347401,0.425650794,0.060017396,0.062468839,0.012106064,0.055206626,0.065762204,0.066642385,0.000160381,0.000283555,0.003576232,0.001193849,0.002240932,0.000714527,0.7,0.86,0.52
Satya Nadella,Microsoft,0.964814116,0.924657571,0.651815939,0.516759987,0.987510614,0.983248439,0.618031534,0.700545654,0.610581143,0.134344695,0.473181478,0.483948633,0.228271084,0.221138319,0.044383537,0.027266424,0.090594433,0.020074208,0.15589316,0.147918675,0.057167417,0.158784852,0.168408605,0.140686856,0.005931581,0.009017264,0.032109645,0.017272826,0.049886269,0.018696542,0.87,0.97,0.81
Tim Cook,Apple,0.905817071,0.699222943,0.354588004,0.210102409,0.945507651,0.898590803,0.685229821,0.803374857,0.689846199,0.388983451,0.649936804,0.54943061,0.55077754,0.548598994,0.169269051,0.044982647,0.3678068,0.161821496,0.164855655,0.1622551,0.06944058,0.174383944,0.178489597,0.164372297,0.005345701,0.004777748,0.036878057,0.020447149,0.034565758,0.009168584,0.77,0.91,0.65
Warren Buffett,Berkshire Hathaway,0.779705201,0.709343664,0.410150206,0.047088732,0.949378618,0.935698916,0.635172047,0.886720796,0.783471033,0.339160129,0.645816169,0.417442767,0.301815352,0.400695463,0.12937964,0.003997108,0.189857867,0.066492547,0.351047721,0.400317546,0.17290778,0.455913734,0.455399468,0.226304013,3.72E-05,1.24E-05,0.000191046,0.000260627,0.00037999,5.70E-05,0.56,0.76,0.44
Whitney Wolfe Herd,Bumble,0.984436226,0.870744426,0.494122267,0.390366948,0.973181799,0.971858171,0.874871422,0.870721361,0.563451872,0.327457749,0.785933845,0.806588966,0.916199003,0.916104549,0.440285042,0.184416682,0.726854528,0.368468233,0.249200066,0.212014318,0.034108079,0.226710603,0.25805911,0.24117408,0.003438739,0.006071457,0.01533547,0.004148589,0.007786722,0.006696044,0.81,0.8,0.78
